,Symbol,Num Trades,Win Rate,Total Profit %,Avg Profit %
0,AAPL,66,0.22727272727272727,-5.18210028637192,-0.07851667100563516
1,NVDA,76,0.3815789473684211,0.8647351683592677,0.01137809432051668
2,QQQ,76,0.32894736842105265,-4.592565324168622,-0.0612342043222483
