timestamp,open,high,low,close,volume
2026-02-06 17:00:00,86.76,88.67,86.26,86.91,7051.2724498
2026-02-06 18:00:00,86.75,86.8,85.38,86.18,2137.67307492
2026-02-06 19:00:00,86.18,87.39,85.68,87.0,11510.94827245
2026-02-06 20:00:00,87.09,87.97,86.68,86.97,4148.73480059
2026-02-06 21:00:00,86.93,88.16,86.68,88.01,798.60370613
2026-02-06 22:00:00,88.04,89.8,87.96,89.22,2967.44872135
2026-02-06 23:00:00,89.19,89.55,87.42,87.47,1359.90076302
2026-02-07 00:00:00,87.47,87.5,86.17,86.5,1066.02896139
2026-02-07 01:00:00,86.59,87.44,86.02,87.13,689.21043583
2026-02-07 02:00:00,87.12,87.54,86.81,87.34,308.27059411
2026-02-07 03:00:00,87.33,88.36,87.28,88.08,723.88172671
2026-02-07 04:00:00,88.1,89.01,87.34,87.71,636.38474018
2026-02-07 05:00:00,87.73,88.55,87.63,87.75,524.81436236
2026-02-07 06:00:00,87.77,88.19,86.35,86.35,1316.5165066
2026-02-07 07:00:00,86.28,86.62,84.22,85.28,3095.1329223
2026-02-07 08:00:00,85.31,85.69,84.8,85.44,1761.27191057
2026-02-07 09:00:00,85.37,85.66,84.88,85.19,471.82488713
2026-02-07 10:00:00,85.24,85.44,84.5,85.05,464.34181047
2026-02-07 11:00:00,85.0,85.19,84.63,84.89,650.22360277
2026-02-07 12:00:00,84.91,87.11,84.86,86.24,3789.31319089
2026-02-07 13:00:00,86.25,86.62,85.61,86.07,1146.89242862
2026-02-07 14:00:00,86.15,86.59,85.51,85.74,941.69869951
2026-02-07 15:00:00,85.79,86.91,85.72,86.49,1346.13177442
2026-02-07 16:00:00,86.59,88.06,86.24,87.06,4392.29785333
2026-02-07 17:00:00,87.06,87.62,86.49,87.58,819.78827298
2026-02-07 18:00:00,87.64,89.11,87.55,88.78,1102.90194151
2026-02-07 19:00:00,88.74,88.79,88.08,88.16,2205.28900548
2026-02-07 20:00:00,88.31,89.1,88.04,88.75,625.34270455
2026-02-07 21:00:00,88.92,89.14,88.15,88.15,1092.10851179
2026-02-07 22:00:00,88.23,88.71,88.19,88.34,483.79903412
2026-02-07 23:00:00,88.3,88.3,86.85,87.68,1025.60064463
2026-02-08 00:00:00,87.62,87.69,87.09,87.23,271.73823264
2026-02-08 01:00:00,87.36,87.98,87.35,87.86,353.3039426
2026-02-08 02:00:00,87.89,88.15,87.0,87.24,304.78355716
2026-02-08 03:00:00,87.29,87.52,86.71,86.84,427.50678638
